case_id,psnr_full,ssim_full,mae_full,rmse_full,mask_nonzero_area_fraction,original_mean_mask_nonzero,generated_mean_mask_nonzero,original_std_mask_nonzero,generated_std_mask_nonzero,mae_mask_nonzero,mask_labels
1.000000-P4P105S300I00006 Gated 20.0A-02729-1-028,27.069705618968346,0.8763145195490923,0.07343357699379016,0.26053112551528623,0.19353866577148438,1.614124712537296,1.567068654951167,0.8807473314490643,0.6921595750889239,0.34836790053363614,0.0|0.5|1.0
1.000000-P4P105S300I00006 Gated 20.0A-02729-1-042,27.01742710774097,0.8480261257567497,0.09099060353419075,0.26318882049158754,0.20279312133789062,1.1863159123575981,1.3486461124863247,1.061375017237227,0.8631604748100548,0.4120886859988312,0.0|0.5|1.0
1.000000-P4P105S300I00006 Gated 20.0A-02729-1-070,24.88176102183589,0.8434813793369761,0.09859032154992509,0.2849445365159587,0.20218658447265625,1.105347172139739,1.315488012273818,0.9905414147037404,0.8460607265689876,0.45824545018804913,0.0|0.5|1.0
1.000000-P4P105S300I00006 Gated 20.0A-02729-1-078,24.808093120367808,0.843240616682319,0.10291326658915434,0.2852729051589828,0.20008087158203125,1.079195071992942,1.350775582072617,1.0110615590647332,0.8217036244313283,0.47433179705169803,0.0|0.5|1.0
1.000000-P4P105S300I00008 Gated 40.0A-54784-1-078,20.721955185973314,0.8283809053139662,0.17707855234608472,0.46178396806100985,0.1997222900390625,1.0817368436346058,1.6772113397699564,1.013082273621321,0.5992323302659015,0.7645936206133219,0.0|0.5|1.0
1.000000-P4P105S300I00009 Gated 50.0A-40237-1-078,21.084810744026466,0.8430153641104944,0.1565521665452474,0.44783029166184635,0.1995391845703125,1.0817615164437593,1.6192651272105458,1.015607141320699,0.5753179571960518,0.7356181377166162,0.0|0.5|1.0
1.000000-P4P105S300I00009 Gated 50.0A-40237-1-081,23.57238875243175,0.8446373762981595,0.1212796830697016,0.33727375838008833,0.19895172119140625,1.0901736827165496,1.4375297668651699,1.0005847311051934,0.7602369749586606,0.5528639673630688,0.0|0.5|1.0
1.000000-P4P105S300I00010 Gated 60.0A-69158-1-056,23.986445506211282,0.8339532168399277,0.12313259681484556,0.3214193008533323,0.20450973510742188,1.121858287677931,1.4812552474289886,1.0259981312255304,0.7980907951526109,0.5629828943816996,0.0|0.5|1.0
1.000000-P4P105S300I00011 Gated 70.0A-12662-1-031,26.735006530805578,0.8682155112828969,0.07343550657025366,0.2583262729960576,0.19552993774414062,1.5018463205558301,1.4806750317479438,0.9434188281189752,0.765799162077924,0.3472864476019559,0.0|0.5|1.0
1.000000-P4P105S300I00013 Gated 90.0A-34039-1-045,26.07001428176774,0.8431046658741028,0.10437043370431587,0.29339925850993087,0.20266342163085938,1.1315014004690231,1.4207858161864197,1.0398396169820228,0.8146430986799132,0.4777866804017035,0.0|0.5|1.0
1.000000-P4P105S300I00013 Gated 90.0A-34039-1-060,25.877768028028015,0.8380075387291464,0.08759200303569514,0.2501155676192057,0.20447540283203125,1.0705336514068848,1.245481943683739,1.0259084218148806,0.9080251233773086,0.3950070220304004,0.0|0.5|1.0
1.000000-P4P105S300I00013 Gated 90.0A-34039-1-103,26.139278789707788,0.9000896554762657,0.06016704047283872,0.23885651792764942,0.19556427001953125,1.8090196914309329,1.7587056729636237,0.3871502748531622,0.41567024288725873,0.2753272681421606,0.0|0.5|1.0
1.000000-P4P117S300I00005 Gated 20.0A-79282-1-36,26.804505535118444,0.8061953348049675,0.09367862284301731,0.24637262076257813,0.3372917175292969,1.4403975054724307,1.3211076128328696,0.6879048006820037,0.730227892783302,0.26534532938276195,0.0|0.5|1.0
1.000000-P4P117S300I00005 Gated 20.0A-79282-1-66,23.434016284329772,0.7384401340478365,0.13850330331212568,0.3208926861291839,0.3811073303222656,1.7050163924449357,1.458867913441165,0.4256688541265644,0.45286759995808573,0.35678807771397175,0.0|0.5|1.0
1.000000-P4P117S300I00006 Gated 30.0A-98754-1-21,26.60812636730352,0.8110374573728913,0.09331637563208206,0.25257490678310757,0.3136863708496094,1.70620284997886,1.5225767673906003,0.5038162987725046,0.5048305639814321,0.2861210041705743,0.0|0.5|1.0
