case_id,roi_pixels,contrast,energy,contrast_anisotropy,contrast_0deg,energy_0deg,contrast_45deg,energy_45deg,contrast_90deg,energy_90deg,contrast_135deg,energy_135deg,outlier,outlier_reason
1.000000-P4P117S302I00009 Gated 60.0A-40067-1-047,21162,2.3552074032607653,0.037054057426469,0.2724753440207458,1.6367172493276987,0.04241236032251861,3.0366653801620993,0.033898076439821304,1.796661390128076,0.03935253557850825,2.9507855934251874,0.03255325736502783,False,
1.000000-P4P117S302I00010 Gated 70.0A-60710-1-070,12136,5.073936175043215,0.01428912352245085,0.27501378098021,3.702118715318648,0.016172720021192754,6.073589050354849,0.013043203035834677,3.7046810656357674,0.015548121811672875,6.8153558688635965,0.0123924492211031,False,
1.000000-P4P117S303I00003 Gated 0.0A-45715-1-051,22899,5.854082123069111,0.02288947690013266,0.28864468417981537,4.647982261640799,0.025619362736663043,7.313775282901185,0.020595530037383212,3.752003187392093,0.025089877145903768,7.702567760342369,0.020253137680580627,False,
1.000000-P4P117S303I00005 Gated 20.0A-54841-1-033,9520,7.4220382507705,0.01645222239500445,0.27735487274166415,4.804765482451433,0.0203248572811187,8.80985763589301,0.01491287936031255,6.110838489438874,0.016233658195712132,9.962691395298686,0.01433749474287441,False,
1.000000-P4P117S304I00007 Gated 40.0A-06258-1-58,22767,9.616242884648013,0.01098215368888281,0.2771770098485262,6.827523017788504,0.012827744509824927,12.844286931945627,0.009655156544006683,7.146721932522173,0.0115668337082467,11.646439656335748,0.00987887999345292,False,
1.000000-P4P117S304I00011 Gated 80.0A-89961-1-46,19368,6.033499709850146,0.020632378773611515,0.2814392575881964,4.283629874560437,0.02421260057960567,8.221694879502188,0.01787028019262395,4.475051049793183,0.021511002162143557,7.153623035544774,0.018935632160072872,False,
1.000000-P4P117S305I00003 Gated 0.0A-96421-1-46,20876,6.137421855643119,0.02752974037038231,0.28193921231502556,4.630685411295422,0.03138406655473965,7.680625458099194,0.02480310069171747,4.205492745887719,0.029287896304389507,8.03288380729014,0.0246438979306826,False,
1.000000-P4P117S305I00003 Gated 0.0A-96421-1-58,25677,5.958135593360439,0.020202678834539734,0.27704235830644663,4.527499901150607,0.02269060438891368,7.37178113716621,0.018833815440918673,4.115495403069881,0.02184871294988734,7.817765932055057,0.017437582558439246,False,
1.000000-P4P117S305I00004 Gated 10.0A-28414-1-65,24916,8.643937615902697,0.007675676654892008,0.27772628729111964,5.8473182506239,0.008651419083782428,10.61295483447512,0.007010384047570935,6.711264161708371,0.008518576608962082,11.404213216803397,0.006522326879252591,False,
1.000000-P4P117S305I00005 Gated 20.0A-05991-1-43,18515,5.998295941552692,0.024035754385157003,0.28468366683403395,4.102558471505436,0.02781691687912899,7.453627586206897,0.02155628061831153,4.507500273732618,0.025461224625244073,7.9294974347658185,0.021308595417943416,False,
1.000000-P4P117S305I00008 Gated 50.0A-65210-1-54,23284,7.264178783015229,0.01395173229446379,0.2761106288765337,5.323207193051372,0.016114236375910477,8.868416440276926,0.012539119126574643,5.230960156760288,0.01493604866102958,9.634131341972326,0.01221752501434046,False,
1.000000-P4P117S305I00009 Gated 60.0A-75309-1-49,20226,6.907428206501122,0.01678028545567458,0.2827471083325382,5.188778844703635,0.019354072020701447,8.744594867650031,0.014746813231473454,4.736092299974919,0.018136776225768612,8.960246813675905,0.014883480344754804,False,
1.000000-P4P117S306I00008 Gated 50.0A-77346-1-53,21475,9.531737980750464,0.00913160888961382,0.28099880463569754,6.1426053822338655,0.010735231587874523,11.677764509195129,0.008211120560420818,7.721095526914329,0.009596730572834429,12.585486504658533,0.007983352837325505,False,
1.000000-P4P117S308I00005 Gated 20.0A-76239-1-044,11356,6.967434259415927,0.029023832906539846,0.2733083126660113,5.1843264132290825,0.033262928754399415,9.0905554550389,0.026174539848772393,4.958967926894822,0.030584950937249954,8.635887242500903,0.02607291208573762,False,
1.000000-P4P117S308I00007 Gated 40.0A-32548-1-065,17828,9.303096780687287,0.012993760891197075,0.2722284422297868,6.889815978969025,0.014960699393027639,12.215015497646654,0.011811218834161218,6.684381408065619,0.01377313295303546,11.423174238067855,0.011429992384563976,False,
1.000000-P4P117S308I00009 Gated 60.0A-55977-1-039,7604,7.8874574081956705,0.018496637740979514,0.27025229261091305,6.040717271133881,0.02146032469454012,9.350936736356232,0.016716276595454497,5.574165885032828,0.019517080188836005,10.584009740259742,0.016292869485087427,False,
