case_id,original_energy,dgen_energy,dgen_energy_error,dsr_energy,dsr_energy_error,original_entropy,dgen_entropy,dgen_entropy_error,dsr_entropy,dsr_entropy_error,dgen_status,dgen_pair_distance_energy_iqr,dgen_pair_distance_entropy_iqr,log2_energy_ratio_dgen_s2_LH,log2_energy_ratio_dgen_s2_HL,log2_energy_ratio_dgen_s2_HH,log2_energy_ratio_dgen_s1_LH,log2_energy_ratio_dgen_s1_HL,log2_energy_ratio_dgen_s1_HH,dsr_status,dsr_pair_distance_energy_iqr,dsr_pair_distance_entropy_iqr,log2_energy_ratio_dsr_s2_LH,log2_energy_ratio_dsr_s2_HL,log2_energy_ratio_dsr_s2_HH,log2_energy_ratio_dsr_s1_LH,log2_energy_ratio_dsr_s1_HL,log2_energy_ratio_dsr_s1_HH
1.000000-P4P105S300I00013 Gated 90.0A-34039-1-045,0.007030488014824747,0.011402510583944965,0.004372022569120218,0.004691869641568487,0.00233861837325626,0.9187624410597333,0.9556892324652521,0.0369267914055188,0.939977393974342,0.02121495291460873,manual_review,0.809341855542367,1.8682303045239432,1.0805420423544694,0.20123968189200703,0.9245461977696128,1.1468534199776086,0.5859357715776187,0.8657975207761729,manual_review,0.432921309003574,1.0733241756335516,-0.30639406717027867,-0.8005324872779982,-0.6445204964121487,-0.48905260325080485,-0.7932906013013811,-0.69511120292828
1.000000-P4P105S300I00013 Gated 90.0A-34039-1-060,0.006160510149332139,0.010519540039601795,0.004359029890269656,0.006370756746792065,0.00021024659745992602,0.926491635726019,0.9516441391382519,0.02515250341223285,0.9444272828122342,0.0179356470862152,manual_review,0.8069366715244136,1.2725359372098717,0.7740769149205486,0.8132181036486171,0.8334425774735724,0.5867927415572146,0.5498914290275756,0.4263572221136036,approved,0.038920515303727546,0.9074148644473334,0.14857707022947658,0.022285319658668205,-0.05276111141300989,-0.14960022114716734,-0.19760771429976381,-0.33649690351487704
1.000000-P4P117S300I00005 Gated 20.0A-79282-1-36,0.01659600544675662,0.007283597927525189,0.00931240751923143,0.0077335164516524925,0.008862488995104126,0.9440890083719365,0.9535492126762111,0.009460204304274522,0.9449217734027296,0.0008327650307931034,manual_review,1.723898049935756,0.47861836069494273,-1.3291134864325442,-1.0217429919435213,-1.0427737486161992,-1.4453877088571268,-1.0928534614706251,-1.3282359820448395,manual_review,1.6406098492453027,0.04213192665428746,-1.0608563578774435,-1.0072222717267332,-1.2338261644949169,-1.369398228109745,-1.431025559469666,-1.783899973569603
1.000000-P4P117S300I00006 Gated 30.0A-98754-1-53,0.020756566001515604,0.005627675020678104,0.0151288909808375,0.010729842344264507,0.010026723657251097,0.9446890841555105,0.9532233649395488,0.008534280784038395,0.9463257278660775,0.0016366437105670428,manual_review,2.800636205588745,0.4317732838730748,-1.8635768090334606,-1.9554925353675814,-1.7181838799385796,-1.8731025954367562,-1.911420005335079,-2.069280845958568,manual_review,1.856131115856326,0.08280241151233336,-0.6858908021487659,-1.0550564855210895,-1.4288262148222477,-1.186619842595994,-1.3067487760298515,-1.905151212914418
1.000000-P4P117S300I00008 Gated 50.0A-92363-1-27,0.01803888180503944,0.0074335272833464805,0.01060535452169296,0.009168203771777633,0.008870678033261808,0.9408096507406666,0.9470133071036294,0.006203656362962828,0.9471040515007391,0.006294400760072483,manual_review,1.963246340011196,0.3138604350663353,-1.335973878976863,-1.2345652383531802,-1.260782646431149,-1.174192368629423,-1.1895428889761508,-1.2416554647523095,manual_review,1.642125790947996,0.3184514495085128,-0.8521790939785288,-1.1301821908778584,-0.9897292405164109,-1.1665661188516034,-1.0378870565172607,-1.2227075965834462
1.000000-P4P117S300I00008 Gated 50.0A-92363-1-59,0.021220352516862773,0.006785297405848472,0.0144350551110143,0.013490978127748172,0.007729374389114601,0.9441802589641446,0.9517861335366048,0.007605874572460203,0.9521870807261258,0.008006821761981198,manual_review,2.672194414301844,0.38480260070888783,-1.3591360374769208,-2.104475179211068,-1.4804219522566593,-1.378381486287635,-1.6866430618798516,-1.2502753123318493,manual_review,1.4308494778714047,0.4050876474585731,-0.5084972185389395,-0.7822515237703028,-0.6833500617378625,-0.6757881667850879,-0.7629274884076607,-0.7768707652445546
1.000000-P4P117S301I00006 Gated 30.0A-04191-1-044,0.014564434415173405,0.006249409138073317,0.00831502527710009,0.007108348173372035,0.00745608624180137,0.9387628981480628,0.9533388272503583,0.014575929102295548,0.9482816001598374,0.009518702011774627,manual_review,1.5392642376052712,0.7374372759998652,-0.877988724887323,-1.7940040348206883,-1.0349731520442573,-0.9356618228479886,-1.2572366029880664,-0.8408435724909379,manual_review,1.3802588112526057,0.48157792435420343,-0.9424844153445242,-1.033766489607062,-1.283068899709085,-1.064680003067074,-1.1633625920855215,-1.1916282295066458
1.000000-P4P117S301I00008 Gated 50.0A-70687-1-062,0.014970744007593418,0.005381922761514017,0.0095888212460794,0.00896905877078437,0.006001685236809048,0.9483728650092323,0.9517204666461332,0.0033476016369008432,0.9504672970935167,0.002094432084284392,manual_review,1.7750673188605353,0.16936458835135684,-1.4614031441109816,-1.5270235039293187,-1.2015470911044297,-1.709835755926352,-1.5529051020476223,-1.447808589170001,manual_review,1.1110224133444313,0.10596321374519849,-0.6735663306150562,-0.6720483718959998,-1.000704465381328,-0.9959830691772525,-0.9537915724497922,-1.284294207720811
1.000000-P4P117S301I00010 Gated 70.0A-84091-1-072,0.020097778235067996,0.004819170873893179,0.015278607361174817,0.01368975883774388,0.006408019397324117,0.9485076365394822,0.9526279450731652,0.004120308533682948,0.9526592346028652,0.004151598063382944,manual_review,2.828351463493206,0.20845800497750958,-1.9844982677555192,-2.2392808108555844,-1.777633388723346,-2.0145065676130067,-2.008887649256797,-2.164470772403284,manual_review,1.1862423460511589,0.21004103034675675,-0.3875245774261733,-0.6357865804170515,-0.7868659054366731,-0.5440319563705299,-0.8225118885354168,-1.090869305641669
1.000000-P4P117S302I00003 Gated 0.0A-54642-1-054,0.005121106262886061,0.007580805524738186,0.002459699261852125,0.004459429347941445,0.0006616769149446165,0.9435940339209724,0.9539266399390914,0.010332606018119028,0.946770779942002,0.003176746021029575,approved,0.4553356102789254,0.5227556186988793,0.8745690717378869,0.05153991423631369,1.1855957071362488,0.9374803471597684,0.4291650138132964,1.108891399364673,approved,0.1224885767729667,0.16072052188580682,-0.06498929236570249,-0.3618461648656062,-0.007188498181258963,-0.11626977645495862,-0.20830109704996483,-0.07533984815720055
