case_id,original_contrast,dgen_contrast,dsr_contrast,original_energy,dgen_energy,dsr_energy,dgen_mae,dsr_mae,dgen_sharpness,dsr_sharpness,dgen_contrast_error,dsr_contrast_error
1.000000-P4P117S303I00005 Gated 20.0A-54841-1-033,7.4220382507705,2.152396827234899,2.471385725462466,0.01645222239500445,0.04227010124434305,0.044743997647072285,0.24945859451044033,0.24958723993128668,0.02315466421451734,0.02254872370917437,5.269641423535601,4.950652525308034
1.000000-P4P117S304I00007 Gated 40.0A-06258-1-58,9.616242884648013,3.3137577015766255,4.871364980480318,0.01098215368888281,0.02507624264398738,0.016880460038471778,0.3471182125810136,0.18968224990165447,0.02966518492980122,0.03395803903076601,6.302485183071388,4.744877904167695
1.000000-P4P117S304I00011 Gated 80.0A-89961-1-46,6.033499709850146,2.8485255266416027,3.530968157671822,0.020632378773611515,0.03346942144286477,0.026273924887639234,0.268629103970271,0.14970197803256824,0.022952307619393937,0.02703376743230799,3.184974183208543,2.502531552178324
1.000000-P4P117S305I00003 Gated 0.0A-96421-1-46,6.137421855643119,4.323548026215608,2.6053697214021008,0.02752974037038231,0.016283286514055084,0.05043548182424471,0.2779629349220757,0.21599050136717896,0.041917750531390206,0.018643284837214724,1.8138738294275107,3.532052134241018
1.000000-P4P117S305I00003 Gated 0.0A-96421-1-58,5.958135593360439,2.3056405118934924,3.0374599736157144,0.020202678834539734,0.04096471656698539,0.03608842181938127,0.28654128972138426,0.196696344572565,0.020214265704567344,0.021365931474074562,3.652495081466947,2.920675619744725
1.000000-P4P117S305I00004 Gated 10.0A-28414-1-65,8.643937615902697,2.8574137983849237,5.021452002172433,0.007675676654892008,0.02221034468106374,0.01146461599828689,0.34689565717314724,0.14367570393212076,0.027782866852987042,0.03610993126126893,5.786523817517773,3.622485613730264
1.000000-P4P117S305I00005 Gated 20.0A-05991-1-43,5.998295941552692,2.9472089315436114,2.8077664377750016,0.024035754385157003,0.032687804637140896,0.04396223865555258,0.2605243081899029,0.2583544507104053,0.027856795395702138,0.020944793278660143,3.051087010009081,3.190529503777691
1.000000-P4P117S305I00008 Gated 50.0A-65210-1-54,7.264178783015229,3.4649676538348135,3.7409535023620175,0.01395173229446379,0.022812038226579838,0.0225980459190162,0.31224351554409935,0.21349784649903222,0.030798060209302983,0.028186920998029958,3.7992111291804154,3.5232252806532114
1.000000-P4P117S305I00009 Gated 60.0A-75309-1-49,6.907428206501122,2.8534486261347776,3.301243016211324,0.01678028545567458,0.03723952046590051,0.030856410788357918,0.35342435404636746,0.2774565917531724,0.025630252820628276,0.02321661780837189,4.053979580366345,3.606185190289798
1.000000-P4P117S306I00008 Gated 50.0A-77346-1-53,9.531737980750464,3.607227326919908,4.426609999212481,0.00913160888961382,0.020827807052998526,0.019419272005231625,0.40913387524092526,0.30417451380772087,0.033731042467516015,0.030257058578606694,5.924510653830556,5.105127981537983
1.000000-P4P117S308I00005 Gated 20.0A-76239-1-044,6.967434259415927,4.280470485777706,3.534427191376601,0.029023832906539846,0.016526807991223573,0.027629117729956004,0.25168856943363704,0.10287312932706184,0.03848782057597905,0.02973651205514843,2.6869637736382206,3.4330070680393256
1.000000-P4P117S308I00007 Gated 40.0A-32548-1-065,9.303096780687287,5.533033620235671,4.887203530916819,0.012993760891197075,0.009033986106956066,0.014836892364775454,0.37807739956676717,0.1259271517613328,0.05302415062258778,0.03559121317603207,3.770063160451616,4.415893249770468
1.000000-P4P117S308I00009 Gated 60.0A-55977-1-039,7.8874574081956705,4.718775014817031,4.983727281937007,0.018496637740979514,0.016130185397192034,0.015733478146970712,0.2784644337606149,0.11152514218510609,0.04181271168630397,0.04583332618072029,3.1686823933786394,2.9037301262586634
